new,original,name2,count
Shop & Service,Toy / Game Store,Shop & Service,6
Arts,Art Museum,Arts & Entertainment,5
Travel & Transport,Bike Rental / Bike Share,Travel & Transport,5
Restaurant,Brazilian Restaurant,Food,5
Bar,Champagne Bar,Nightlife Spot,5
Gym,Dance Studio,Arts & Entertainment,5
Shop & Service,Discount Store,Shop & Service,5
Arts,Exhibit,Arts & Entertainment,5
Shop & Service,Flea Market,Shop & Service,5
Shop & Service,Health Food Store,Shop & Service,5
Arts,Indie Theater,Arts & Entertainment,5
Professional & Other Places,Library,Professional & Other Places,5
Shop & Service,Liquor Store,Shop & Service,5
Professional & Other Places,Monument / Landmark,Professional & Other Places,5
Arts,Multiplex,Arts & Entertainment,5
Shop & Service,Music Store,Shop & Service,5
Outdoors & Recreation,Playground,Outdoors & Recreation,5
Shop & Service,Salon / Barbershop,Shop & Service,5
Bar,Sports Bar,Nightlife Spot,5
Shop & Service,Thrift / Vintage Store,Shop & Service,5
Gym,Boxing Gym,Outdoors & Recreation,4
Outdoors & Recreation,Bridge,Outdoors & Recreation,4
Travel & Transport,Bus Station,Travel & Transport,4
Outdoors & Recreation,Castle,Outdoors & Recreation,4
Restaurant,Cuban Restaurant,Food,4
Shop & Service,Dry Cleaner,Shop & Service,4
Asian Restaurant,Dumpling Restaurant,Food,4
Restaurant,Ethiopian Restaurant,Food,4
Shop & Service,Flower Shop,Shop & Service,4
Shop & Service,Fruit & Vegetable Store,Shop & Service,4
Outdoors & Recreation,Harbor / Marina,Outdoors & Recreation,4
Shop & Service,Health & Beauty Service,Shop & Service,4
Bar,Hookah Bar,Nightlife Spot,4
Travel & Transport,Light Rail Station,Travel & Transport,4
Shop & Service,Men's Store,Shop & Service,4
Food,Noodle House,Food,4
Restaurant,Peruvian Restaurant,Food,4
Food,Poke Place,Food,4
Outdoors & Recreation,Skate Park,Outdoors & Recreation,4
Outdoors & Recreation,Trail,Outdoors & Recreation,4
Asian Restaurant,Udon Restaurant,Food,4
Food,Wings Joint,Food,4
Outdoors & Recreation,Athletics & Sports,Outdoors & Recreation,3
Accomodation,Bed & Breakfast,Travel & Transport,3
Shop & Service,Beer Store,Shop & Service,3
Shop & Service,Bike Shop,Shop & Service,3
Shop & Service,Business Service,Shop & Service,3
Shop & Service,Butcher,Shop & Service,3
Outdoors & Recreation,Canal,Outdoors & Recreation,3
Professional & Other Places,Church,Professional & Other Places,3
Arts,Comedy Club,Arts & Entertainment,3
Shop & Service,Fish Market,Shop & Service,3
Outdoors & Recreation,Fountain,Outdoors & Recreation,3
Shop & Service,Gas Station,Shop & Service,3
Gym,Gym Pool,Outdoors & Recreation,3
Shop & Service,Massage Studio,Shop & Service,3
Shop & Service,Miscellaneous Shop,Shop & Service,3
Shop & Service,Mobile Phone Shop,Shop & Service,3
Entertainment,Opera House,Arts & Entertainment,3
Restaurant,Polish Restaurant,Food,3
Outdoors & Recreation,Pool,Outdoors & Recreation,3
Shop & Service,Recording Studio,Shop & Service,3
Residence,Residential Building (Apartment / Condo),Residence,3
Food,Snack Place,Food,3
Outdoors & Recreation,Soccer Field,Outdoors & Recreation,3
Arts,Street Art,Arts & Entertainment,3
Asian Restaurant,Szechuan Restaurant,Food,3
Travel & Transport,Tourist Information Center,Travel & Transport,3
Shop & Service,Video Game Store,Shop & Service,3
Shop & Service,Warehouse Store,Shop & Service,3
Bar,Whisky Bar,Nightlife Spot,3
Shop & Service,Accessories Store,Shop & Service,2
Professional & Other Places,Animal Shelter,Professional & Other Places,2
Shop & Service,Antique Shop,Shop & Service,2
Food,Austrian Restaurant,Food,2
Shop & Service,Auto Garage,Shop & Service,2
Pub,Beer Garden,Nightlife Spot,2
Entertainment,Bowling Alley,Arts & Entertainment,2
Restaurant,Brasserie,Food,2
Restaurant,Buffet,Food,2
Professional & Other Places,Building,Professional & Other Places,2
Entertainment,Casino,Arts & Entertainment,2
Gym,Climbing Gym,Outdoors & Recreation,2
Professional & Other Places,Community Center,Professional & Other Places,2
Professional & Other Places,Convention Center,Professional & Other Places,2
Professional & Other Places,Coworking Space,Professional & Other Places,2
Entertainment,Cricket Ground,Arts & Entertainment,2
Professional & Other Places,Distillery,Professional & Other Places,2
Bar,Dive Bar,Nightlife Spot,2
Restaurant,Eastern European Restaurant,Food,2
Shop & Service,Film Studio,Shop & Service,2
Restaurant,German Restaurant,Food,2
Restaurant,Halal Restaurant,Food,2
Restaurant,Himalayan Restaurant,Food,2
Shop & Service,IT Services,Shop & Service,2
Outdoors & Recreation,Indoor Play Area,Outdoors & Recreation,2
Restaurant,Iraqi Restaurant,Food,2
Pub,Irish Pub,Food,2
Restaurant,Israeli Restaurant,Food,2
Restaurant,Japanese Curry Restaurant,Food,2
Shop & Service,Lingerie Store,Shop & Service,2
Shop & Service,Locksmith,Shop & Service,2
Arts,Memorial Site,Arts & Entertainment,2
Entertainment,Mini Golf,Arts & Entertainment,2
Outdoors & Recreation,Neighborhood,Outdoors & Recreation,2
Restaurant,North Indian Restaurant,Food,2
Professional & Other Places,Office,Professional & Other Places,2
Shop & Service,Optical Shop,Shop & Service,2
Shop & Service,Perfume Shop,Shop & Service,2
Shop & Service,Photography Studio,Shop & Service,2
Food,Pie Shop,Food,2
Travel & Transport,Pier,Travel & Transport,2
Outdoors & Recreation,Recreation Center,Outdoors & Recreation,2
Travel & Transport,Road,Travel & Transport,2
Entertainment,Rock Club,Arts & Entertainment,2
Entertainment,Science Museum,Arts & Entertainment,2
Outdoors & Recreation,Skating Rink,Outdoors & Recreation,2
Food,Smoothie Shop,Shop & Service,2
Entertainment,Soccer Stadium,Arts & Entertainment,2
Food,Soup Place,Food,2
